frame,vehicle_type,id,bbox
125,2,-1,"[[385.39324951171875, 151.84744262695312, 410.2156982421875, 169.35250854492188]]"
125,7,-1,"[[384.65777587890625, 141.0531768798828, 409.9541015625, 169.31053161621094]]"
125,2,-1,"[[228.56503295898438, 134.31753540039062, 249.02230834960938, 152.15481567382812]]"
126,5,-1,"[[383.14483642578125, 137.76382446289062, 463.18865966796875, 169.95437622070312]]"
126,2,-1,"[[384.78424072265625, 151.15155029296875, 408.3287353515625, 169.64422607421875]]"
126,2,-1,"[[228.51014709472656, 135.26119995117188, 249.1376190185547, 152.51718139648438]]"
126,2,-1,"[[348.0653076171875, 127.76907348632812, 363.4722900390625, 140.31814575195312]]"
126,7,-1,"[[383.9462585449219, 141.04208374023438, 408.0137634277344, 169.39340209960938]]"
127,2,-1,"[[228.538330078125, 138.63238525390625, 248.679931640625, 152.5794677734375]]"
127,7,-1,"[[381.3243713378906, 140.19796752929688, 407.2120056152344, 168.04556274414062]]"
127,2,-1,"[[347.7337646484375, 128.00888061523438, 363.113525390625, 140.20108032226562]]"
127,5,-1,"[[380.00860595703125, 137.19461059570312, 460.67083740234375, 168.07620239257812]]"
127,2,-1,"[[383.10040283203125, 146.42337036132812, 406.59783935546875, 167.95675659179688]]"
128,2,-1,"[[228.50729370117188, 138.91854858398438, 248.90737915039062, 152.97592163085938]]"
128,5,-1,"[[379.04736328125, 137.1129150390625, 460.2989501953125, 167.13058471679688]]"
128,2,-1,"[[381.924560546875, 146.8541717529297, 405.84814453125, 167.1519012451172]]"
128,7,-1,"[[381.24383544921875, 147.45941162109375, 405.54876708984375, 167.2564697265625]]"
128,2,-1,"[[347.5589294433594, 127.00003051757812, 362.5650939941406, 139.43917846679688]]"
129,2,-1,"[[228.3106689453125, 140.08177185058594, 248.13543701171875, 153.2811737060547]]"
129,7,-1,"[[381.09771728515625, 147.5903778076172, 405.22882080078125, 166.5626678466797]]"
129,2,-1,"[[381.09698486328125, 148.12374877929688, 405.10247802734375, 166.83389282226562]]"
129,5,-1,"[[378.60931396484375, 136.44992065429688, 460.3670654296875, 166.48245239257812]]"
129,5,-1,"[[344.38739013671875, 114.23330688476562, 427.2095947265625, 140.46499633789062]]"
129,6,-1,"[[378.31927490234375, 136.938232421875, 460.05926513671875, 164.88720703125]]"
130,2,-1,"[[228.4825439453125, 140.53494262695312, 248.1998291015625, 153.90072631835938]]"
