epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,386.473,1.06534,1.93172,0.81524,0.94734,0.70393,0.44262,0.5243,0.32051,0.7213,0.42261,0.47248,0.264,1.34234,2.67207,1.23047,1.11703,0.000627292,0.000627292,0.000627292
65,390.65,1.01794,1.71958,0.79861,0.94572,0.67417,0.47095,0.53925,0.33093,0.65466,0.44266,0.48522,0.27104,1.32014,2.63344,1.15001,1.10936,0.000610789,0.000610789,0.000610789
66,395.646,0.99283,1.72581,0.76614,0.92911,0.651,0.50597,0.56133,0.33664,0.63019,0.47416,0.51813,0.28091,1.30062,2.55462,1.06531,1.0962,0.000594286,0.000594286,0.000594286
67,400.66,1.05306,1.73129,0.80267,0.94852,0.70868,0.46793,0.56884,0.34123,0.69996,0.45269,0.52691,0.28596,1.29423,2.51523,1.04191,1.08491,0.000577782,0.000577782,0.000577782
68,405.59,0.9759,1.64534,0.74424,0.92639,0.62888,0.54289,0.58515,0.35122,0.67568,0.47203,0.54023,0.29796,1.28241,2.50098,1.0217,1.07851,0.000561279,0.000561279,0.000561279
69,411.376,0.97893,1.73968,0.78259,0.93621,0.71076,0.50115,0.58922,0.35791,0.69775,0.48592,0.5596,0.30613,1.27507,2.50811,1.01082,1.07146,0.000544776,0.000544776,0.000544776
70,418.324,1.0154,1.75142,0.79291,0.954,0.77322,0.49235,0.591,0.36407,0.70477,0.4901,0.56673,0.30402,1.27896,2.53924,1.02153,1.07772,0.000528272,0.000528272,0.000528272
71,422.996,0.98352,1.77209,0.74544,0.90447,0.76248,0.49387,0.59219,0.35746,0.71145,0.49081,0.5534,0.29654,1.30318,2.58252,1.0428,1.09001,0.000511769,0.000511769,0.000511769
72,428.62,0.99817,1.64047,0.77886,0.9442,0.74701,0.48663,0.58105,0.3509,0.68305,0.47629,0.53948,0.29696,1.31791,2.66551,1.08405,1.09923,0.000495266,0.000495266,0.000495266
73,433.586,0.94991,1.54845,0.73525,0.9272,0.73105,0.49162,0.58572,0.35077,0.69789,0.45964,0.53036,0.2952,1.29938,2.66397,1.08924,1.09179,0.000478762,0.000478762,0.000478762
74,438.325,0.94805,1.63401,0.75738,0.92441,0.68706,0.48824,0.57557,0.34493,0.64958,0.49357,0.52655,0.28393,1.31597,2.62411,1.08876,1.09153,0.000462259,0.000462259,0.000462259
75,443.573,0.90713,1.48206,0.74683,0.91992,0.64975,0.51907,0.57343,0.35024,0.63541,0.49157,0.5208,0.28711,1.31008,2.62158,1.09695,1.08666,0.000445756,0.000445756,0.000445756
76,447.803,1.00186,1.70033,0.84626,0.96775,0.67871,0.49697,0.56881,0.34865,0.65095,0.48245,0.51888,0.28579,1.2967,2.64467,1.10631,1.07653,0.000429253,0.000429253,0.000429253
77,452.1,0.95873,1.62931,0.74644,0.9248,0.70493,0.48316,0.57423,0.35285,0.69586,0.4714,0.53053,0.28825,1.29054,2.65078,1.1046,1.07497,0.000412749,0.000412749,0.000412749
78,458.651,1.02989,1.72761,0.76227,0.9303,0.66723,0.52078,0.58855,0.35733,0.64756,0.47062,0.51596,0.28654,1.2951,2.65261,1.06486,1.08631,0.000396246,0.000396246,0.000396246
